,term,cat
11,compassion,care.virtue
12,empathy,care.virtue
13,kindness,care.virtue
14,caring,care.virtue
15,generosity,care.virtue
16,benevolence,care.virtue
17,altruism,care.virtue
18,compassionate,care.virtue
19,nurture,care.virtue
20,gentleness,care.virtue
21,nurturance,care.virtue
22,sympathy,care.virtue
23,nurturing,care.virtue
24,motherly,care.virtue
25,love,care.virtue
26,beneficence,care.virtue
27,empathize,care.virtue
28,helpfulness,care.virtue
29,loving,care.virtue
30,pity,care.virtue
31,mercy,care.virtue
32,nurturer,care.virtue
33,compassionately,care.virtue
34,nurturers,care.virtue
35,caringly,care.virtue
36,empathising,care.virtue
37,merciful,care.virtue
38,empathizing,care.virtue
39,nurtures,care.virtue
40,warmhearted,care.virtue
41,empathizers,care.virtue
42,protectiveness,care.virtue
43,nurtured,care.virtue
44,benevolent,care.virtue
45,mothering,care.virtue
46,cared,care.virtue
47,healing,care.virtue
48,empathises,care.virtue
49,humane,care.virtue
50,comfort,care.virtue
51,pitied,care.virtue
52,loved,care.virtue
53,altruist,care.virtue
54,cares,care.virtue
55,pitying,care.virtue
56,comforted,care.virtue
57,hug,care.virtue
58,comforting,care.virtue
59,consoling,care.virtue
60,empathizes,care.virtue
61,sympathize,care.virtue
62,care,care.virtue
63,caregiver,care.virtue
64,empathised,care.virtue
65,hugs,care.virtue
66,heal,care.virtue
67,generous,care.virtue
68,condolences,care.virtue
69,mothered,care.virtue
70,charitable,care.virtue
71,generously,care.virtue
72,pities,care.virtue
73,condolence,care.virtue
74,help,care.virtue
75,consolingly,care.virtue
76,solace,care.virtue
77,mother,care.virtue
78,healer,care.virtue
79,hospitality,care.virtue
80,charity,care.virtue
81,empathized,care.virtue
82,healers,care.virtue
83,pityingly,care.virtue
84,mothers,care.virtue
85,child,care.virtue
86,lovingly,care.virtue
87,parenting,care.virtue
88,rescuing,care.virtue
89,rescuer,care.virtue
90,loves,care.virtue
91,consoled,care.virtue
92,clothe,care.virtue
93,sympathizing,care.virtue
94,helping,care.virtue
95,shared,care.virtue
96,childhood,care.virtue
97,mommy,care.virtue
98,vulnerability,care.virtue
99,helpers,care.virtue
100,lover,care.virtue
101,hospitable,care.virtue
102,sharer,care.virtue
103,feeding,care.virtue
104,nursed,care.virtue
105,helper,care.virtue
106,safeness,care.virtue
107,nurses,care.virtue
108,protector,care.virtue
109,motherhood,care.virtue
110,alleviation,care.virtue
111,nursemaid,care.virtue
112,safeguard,care.virtue
113,protect,care.virtue
114,healthiness,care.virtue
115,protecters,care.virtue
116,patient,care.virtue
