party,speaker,text
democrat,BARACK OBAMA,"Thank you. Thank you. Thank you. Thank you so much.Thank you.Thank you so much. Thank you. Thank you very much, everybody. Thank you.
Michelle, I love you so much. 
A few nights ago, everybody was reminded just what a lucky man I am. 
Malia and Sasha, we are so proud of you. 
And Joe Biden, thank you for being the very best vice president I could have ever hoped for — — and being a strong and loyal friend.
Madam Chairwoman, delegates, I accept your nomination for president of the United States. Now, the first time I addressed this convention, in 2004, I was a younger man — — a Senate candidate from Illinois who spoke about hope, not blind optimism, not wishful thinking but hope in the face of difficulty, hope in the face of uncertainty, that dogged faith in the future which has pushed this nation forward even when the odds are great, even when the road is long.
Eight years later that hope has been tested by the cost of war, by one of the worst economic crises in history and by political gridlock that's left us wondering whether it's still even possible to tackle the challenges of our time. I know campaigns can seem small, even silly sometimes.
Trivial things become big distractions. Serious issues become sound bites. The truth gets buried under an avalanche of money and advertising. And if you're sick of hearing me approve this message, believe me, so am I. 
But when all is said and done, when you pick up that ballot to vote, you will face the clearest choice of any time in a generation. Over the next few years big decisions will be made in Washington on jobs, the economy, taxes and deficits, energy, education, war and peace — decisions that will have a huge impact on our lives and on our children's lives for decades to come.
And on every issue, the choice you face won't just be between two candidates or two parties. It will be a choice between two different paths for America, a choice between two fundamentally different visions for the future. Ours is a fight to restore the values that built the largest middle class and the strongest economy the world has ever known — — the values my grandfather defended as a soldier in Patton's army, the values that drove my grandmother to work on a bomber assembly line while he was gone. They knew they were part of something larger — a nation that triumphed over fascism and depression, a nation where the most innovative businesses turn out the world's best products, and everyone shared in that pride and success from the corner office to the factory floor.
My grandparents were given the chance to go to college and buy their home — their own home and fulfill the basic bargain at the heart of America's story, the promise that hard work will pay off, that responsibility will be rewarded, that everyone gets a fair shot and everyone does their fair share and everyone plays by the same rules, from Main Street to Wall Street to Washington, D.C. 
And I ran for president because I saw that basic bargain slipping away. I began my career helping people in the shadow of a shuttered steel mill at a time when too many good jobs were starting to move overseas. And by 2008 we had seen nearly a decade in which families struggled with costs that kept rising but paychecks that didn't, folks racking up more and more debt just to make the mortgage or pay tuition, put gas in the car or food on the table. And when the house of cards collapsed in the Great Recession, millions of innocent Americans lost their jobs, their homes, their life savings, a tragedy from which we're still fighting to recover.
Now, our friends down in Tampa at the Republican convention were more than happy to talk about everything they think is wrong with America. But they didn't have much to say about how they'd make it right. They want your vote, but they don't want you to know their plan. And that's because all they have to offer is the same prescriptions they've had for the last 30 years. Have a surplus? Try a tax cut. Deficit too high — try another.
Feel a cold coming on? Take two tax cuts, roll back some regulations, and call us in the morning. 
Now, I've cut taxes for those who need it — — or help us compete with the scientists and engineers coming out of China. After all we've been through, I don't believe that rolling back regulations on Wall Street will help the small-businesswoman expand, or the laid-off construction worker keep his home.
We have been there, we've tried that, and we're not going back. We are moving forward, America. 
Now, I won't pretend the path I'm offering is quick or easy. I never have. You didn't elect me to tell you what you wanted to hear. You elected me to tell you the truth. 
And the truth is, it will take more than a few years for us to solve challenges that have built up over decades. It'll require common effort, shared responsibility, and the kind of bold, persistent experimentation that Franklin Roosevelt pursued during the only crisis worse than this one. 
And by the way, those of us who carry on his party's legacy should remember that not every problem can be remedied with another government program or dictate from Washington.
But know this, America: Our problems can be solved. 
I'm asking you to rally around a set of goals for your country, goals in manufacturing, energy, education, national security and the deficit, real, achievable plans that will lead to new jobs, more opportunity and rebuild this economy on a stronger foundation. That's what we can do in the next four years, and that is why I am running for a second term as president of the United States. 
We can choose a future where we export more products and outsource fewer jobs. After a decade that was defined by what we bought and borrowed, we're getting back to basics and doing what America's always done best. We are making things again. — because we work harder and smarter than anyone else.
And after a decade of decline, this country created over half a million manufacturing jobs in the last 2 1/2 years. And now you have a choice. We can give more tax breaks to corporations that shift jobs overseas —— or we can start rewarding companies that open new plants and train new workers and create new jobs here in the United States of America. You can choose that future.
You can choose the path where we control more of our own energy. After 30 years of inaction, we raised fuel standards so that by the middle of the next decade, cars and trucks will go twice as far on a gallon of gas. 
So now you have a choice between a strategy that reverses this progress or one that builds on it.
We've opened millions of new acres for oil and gas exploration in the last three years, and we'll open more. But unlike my opponent, I will not let oil companies write this country's energy plan or endanger our coastlines or collect another $4 billion in corporate welfare from our taxpayers. We're offering a better path.
We're offering a better path where we — a future where we keep investing in wind and solar and clean coal, where farmers and scientists harness new biofuels to power our cars and trucks, where construction workers build homes and factories that waste less energy, where — where we develop a hundred-year supply of natural gas that's right beneath our feet. If you choose this path, we can cut our oil imports in half by 2020 and support more than 600,000 new jobs in natural gas alone. (Cheers, applause.
And yes, my plan will continue to reduce the carbon pollution that is heating our planet, because climate change is not a hoax. More droughts and floods and wildfires are not a joke. They are a threat to our children's future.
And in this election, you can do something about it. You can choose a future where more Americans have the chance to gain the skills they need to compete, no matter how old they are or how much money they have.
Education was the gateway to opportunity for me. It was the gateway for Michelle. It was — it was the gateway for most of you. And now more than ever it is the gateway to a middle-class life.
For the first time in a generation, nearly every state has answered our call to raise their standards for teaching and learning. 
And now you have a choice. We can gut education, or we can decide that in the United States of America, no child should have her dreams deferred because of a crowded classroom or a crumbling school. No family should have to set aside a college acceptance letter because they don't have the money. 
A government has a role in this. But teachers must inspire. Principals must lead. Parents must instill a thirst for learning. And students, you've got to do the work. 
So help me. Help me recruit a hundred thousand math and science teachers within 10 years and improve early childhood education. Help give 2 million workers the chance to learn skills at their community college that will lead directly to a job. Help us work with colleges and universities to cut in half the growth of tuition costs over the next 10 years.
We can meet that goal together. That's our future.
You know, in a world of new threats and new challenges, you can choose leadership that has been tested and proven. Four years ago I promised to end the war in Iraq. We did. 
And tonight we pay tribute to the Americans who still serve in harm's way. We are forever in debt to a generation whose sacrifice has made this country safer and more respected. We will never forget you, and so long as I'm commander in chief, we will sustain the strongest military the world has ever known. When you take off the uniform, we will serve you as well as you've served us, because no one who fights for this country should have to fight for a job or a roof over their head or the care that they need when they come home.

Around the world, we've strengthened old alliances and forged new coalitions to stop the spread of nuclear weapons. We've reasserted our power across the Pacific and stood up to China on behalf of our workers. From Burma to Libya to South Sudan, we have advanced the rights and dignity of all human beings — 
But for all the progress that we've made, challenges remain. Terrorist plots must be disrupted. Europe's crisis must be contained. Our commitment to Israel's security must not waver, and neither must our pursuit of peace. 
So now we have a choice. My opponent and his running mate are new to foreign policy. 
But from all that we've seen and heard, they want to take us back to an era of blustering and blundering that cost America so dearly.
After all, you don't call Russia our number one enemy — not al- Qaida, Russia — 
You might not be ready for diplomacy with Beijing if you can't visit the Olympics without insulting our closest ally.

My opponent — my opponent said that it was tragic to end the war in Iraq. And he won't tell us how he'll end the war in Afghanistan. Well, I have, and I will. 
You can choose a future where we reduce our deficit without sticking it to the middle class. 
I want to reform the tax code so that it's simple, fair and asks the wealthiest households to pay higher taxes on incomes over $250,000 — — the same rate we had when Bill Clinton was president, the same rate we had when our economy created nearly 23 million new jobs, the biggest surplus in history and a whole lot of millionaires to boot.

Now, I'm still eager to reach an agreement based on the principles of my bipartisan debt commission. No party has a monopoly on wisdom. No democracy works without compromise. I want to get this done, and we can get it done.
But when Governor Romney and his friends in Congress tell us we can somehow lower our deficits by spending trillions more on new tax breaks for the wealthy, well — You do the math.
I refuse to go along with that, and as long as I'm president, I never will. 
And I will never — I will never turn Medicare into a voucher. No American should ever have to spend their golden years at the mercy of insurance companies. They should retire with the care and the dignity that they have earned. Yes, we will reform and strengthen Medicare for the long haul, but we'll do it by reducing the cost of health care, not by asking seniors to pay thousands of dollars more.

This is the choice we now face. This is what the election comes down to. Over and over, we've been told by our opponents that bigger tax cuts and fewer regulations are the only way, that since government can't do everything, it should do almost nothing. If you can't afford health insurance, hope that you don't get sick. 
You know what, that's not who we are. That's not what this country is about. As Americans, we believe we are endowed by our Creator with certain inalienable rights, rights that no man or government can take away. We insist on personal responsibility, and we celebrate individual initiative. We're not entitled to success. We have to earn it. We honor the strivers, the dreamers, the risk- takers, the entrepreneurs who have always been the driving force behind our free enterprise system, the greatest engine of growth and prosperity that the world's ever known.
But we also believe in something called citizenship — — citizenship, a word at the very heart of our founding, a word at the very essence of our democracy, the idea that this country only works when we accept certain obligations to one another and to future generations.
We believe that when a CEO pays his autoworkers enough to buy the cars that they build, the whole company does better. 
We believe that when a family can no longer be tricked into signing a mortgage they can't afford, that family's protected, but so is the value of other people's homes — 
We believe the little girl who's offered an escape from poverty by a great teacher or a grant for college could become the next Steve Jobs or the scientist who cures cancer or the president of the United States — 
We know that churches and charities can often make more of a difference than a poverty program alone. We don't want handouts for people who refuse to help themselves, and we certainly don't want bailouts for banks that break the rules. 
We don't think the government can solve all of our problems, but we don't think the government is the source of all of our problems — — because — because America, we understand that this democracy is ours.
We, the people — 
As citizens, we understand that America is not about what can be done for us. It's about what can be done by us, together — — through the hard and frustrating but necessary work of self-government. That's what we believe.
So you see, the election four years ago wasn't about me. It was about you. 
You're the reason there's a little girl with a heart disorder in Phoenix who'll get the surgery she needs because an insurance company can't limit her coverage. You did that. 
You're the reason a young man in Colorado who never thought he'd be able to afford his dream of earning a medical degree is about to get that chance. You made that possible. 
You're the reason a young immigrant who grew up here and went to school here and pledged allegiance to our flag will no longer be deported from the only country she's ever called home — You did that.
If you turn away now — if you turn away now, if you buy into the cynicism that the change we fought for isn't possible, well, change will not happen. If you give up on the idea that your voice can make a difference, then other voices will fill the void, the lobbyists and special interests, the people with the $10 million checks who are trying to buy this election and those who are trying to make it harder for you to vote, Washington politicians who want to decide who you can marry or control health care choices that women should be making for themselves. Only you can make sure that doesn't happen. Only you have the power to move us forward.
You know, I recognize that times have changed since I first spoke to this convention. Times have changed, and so have I. I'm no longer just a candidate. I'm the president. 
And — — and that's —And that — and that means I know what it means to send young Americans into battle, for I've held in my arms the mothers and fathers of those who didn't return.
I've shared the pain of families who've lost their homes, and the frustration of workers who've lost their jobs. If the critics are right that I've made all my decisions based on polls, then I must not be very good at reading them. 
And while I'm proud of what we've achieved together — 
But as I stand here tonight, I have never been more hopeful about America. Not because I think I have all the answers. Not because I'm naive about the magnitude of our challenges.
I'm hopeful because of you.
The young woman I met at a science fair who won national recognition for her biology research while living with her family at a homeless shelter — she gives me hope. 
The auto worker who won the lottery after his plant almost closed, but kept coming to work every day, and bought flags for his whole town and one of the cars that he built to surprise his wife — he gives me hope.

The family business in Warroad, Minnesota, that didn't lay off a single one of their 4,000 employees when the recession hit — 
I think about the young sailor I met at Walter Reed Hospital still recovering from a grenade attack that would cause him to have his leg amputated above the knee. And six months ago we would watch him walk into a White House dinner honoring those who served in Iran He gives me hope.
I don't know what party these men and women belong to. I don't know if they'll vote for me. But I know that their spirit defines us. They remind me, in the words of Scripture, that ours is a future filled with hope. And if you share that faith with me, if you share that hope with me, I ask you tonight for your vote.

If you reject the notion that this nation's promise is reserved for the few, your voice must be heard in this election. 
If you reject the notion that our government is forever beholden to the highest bidder, you need to stand up in this election. 
If you believe that new plants and factories can dot our landscape, that new energy can power our future, that new schools can provide ladders of opportunity to this nation of dreamers, if you believe in a country where everyone gets a fair shot, and everyone does their fair share and everyone plays by the same rules, then I need you to vote this November. 
America, I never said this journey would be easy, and I won't promise that now. Yes, our path is harder, but it leads to a better place. 
We don't turn back. We leave no one behind. And we learn from our mistakes. But we keep our eyes fixed on that distant horizon knowing that providence is with us and that we are surely blessed to be citizens of the greatest nation on earth.
Thank you, God bless you and God bless these United States. "
democrat,MICHELLE OBAMA,"Thank you so much. Tonight, I am so thrilled and so honored and so proud to introduce the love of my life — "
democrat,RICHARD DURBIN,"Thank you. It is a singular honor to be here tonight. Eight years ago in Boston, I introduced you to a state senator from Illinois. 
I was there — I was there —Four more years! Now, I was there —Many of you were with me. It was a cold, cold January afternoon when Barack Obama lifted his hand from Abraham Lincoln's Bible and looked out on an America facing an economic collapse. These last four years have been hard. Too many families are still struggling. But today our economy is beginning to recover. Jobs are returning; businesses are expanding. America is coming back. 
Our friends — our friends in the other party gathered in Tampa and gave us a message last week.
They said, just remember, we're all in this alone. Yeah.
They told us, the real winners — the real builders — never need a helping hand.
Democrats know better; America knows better. History and this president have shown us we are stronger when we are all in this together. 
I invite them: Come to Belvidere, Illinois. Meet 5,000 proud Chrysler UAW workers. 
Come and meet the working families all across America who now have a chance for affordable health care. At one time, a governor thought that was a good idea in Massachusetts. Well, President Obama and millions of American families think it's a great idea for America.But this president is focused on more than just opportunity. He is focused on justice. I am proud to have been there when he signed his first bill as president of the United States to end discrimination against women in the workplace in honor of Lilly Ledbetter. 
And I will tell you, I cannot remember a more touching ceremony than when this president gathers together to finally eliminate the discrimination of ""don't ask, don't tell"" in our military. 
It was 11 years ago. 
Eleven years ago I introduced a little bill known as the DREAM Act. 
It was 150 years ago — 150 years ago that another president from Illinois brought justice to his day with the Emancipation Proclamation. Now, his critics told him he had gone way too far and he should undo what he'd done. But here's what Abraham Lincoln said: ""I hope to stand firm enough not to go backwards."" 
We cannot — we cannot build a better, stronger, fairer America by going backwards. We must walk forward together. And with President Obama and Vice President Joe Biden in the White House, we will. President Obama, your values, your vision, your commitment to justice are still worth fighting for.
Thank you. "
democrat,JOSEPH BIDEN,"Hey, Delaware. 
And my favorite Democrat, Jilly, I want you to know that Beau and Hunt and Ashley and I — we're so incredibly proud of you, kid. You know, we admire the way — they way that when every single solitary young person — and they're not all young — walk into your classroom, you not only teach them, you give them confidence.
You give me confidence. And the passion — the passion she brings to trying to ease the burden on the families of our warriers. Jilly, they know you understand them. And that makes a gigantic difference. 
And folks, I tell you what, it was worth the trip to hear my wife say what I've never heard her say before: She's always loved me. 
We've got three incredible kids. And Beau, I want to thank you for putting my name in nomination to be vice president of the United States. 
Thank you, my fellow Democrats. 
And I say to my fellow Americans: My fellow Americans, four years ago a battered nation turned away from the failed policies of the past and turned to a leader who they knew would lift our nation out of the crisis — a journey — a journey we haven't finished yet. We know we still have more to do. But today I say to my fellow citizens: In the face of the deepest economic crisis in our lifetime, this generation of Americans has proven itself as worthy as any generation before us. — a mission we will complete.
Folks, tonight what I really want to do is tell you about my friend Barack Obama. But I know him, to state the obvious, from a different perspective.
I know him, and I want to show you — I want to show you the character of a leader who had what it took when the American people literally stood on the brink of a new depression, a leader who has what it takes to lead us over the next four years to a future as great as our people. I want to take you inside the White House to see the president as I see him every day, because I don't see him in soundbites. I walk 30 paces down the hall into the Oval Office, and I see him, I watch him in action.
Four years ago the middle class was already losing ground, and then the bottom fell out. The financial crisis hit like a sledgehammer on all the people I grew up with. You remember the headlines. You saw some of them in the previews. Highlight: Highest job losses in 60 years. Headlines: Economy on the brink; markets plummet worldwide.
From the very moment President Obama sat behind the desk, resolute, in the Oval Office, he knew — he knew he had not only to restore the confidence of a nation, but he had to restore the confidence of the whole world. And he also knew — he also knew that one, one false move could bring a run on the banks or a credit collapse to put another several million people out of work. America and the world needed a strong president with a steady hand and with the judgment and vision to see us through.
Day after day, night after night I sat beside him as he made one gutsy decision after the other to stop the slide and reverse it. I watched him. I watched him stand up. I watched him stand up to intense pressure and stare down enormous, enormous challenges, the consequences of which were awesome.
But most of all, I got to see firsthand what drove this man: his profound concern for the average American. He knew — he knew that no matter how tough the decisions he had to make were in that Oval Office, he knew that families all over America sitting at their kitchen tables were literally making decisions for their family that were equally as consequential.
You know, Barack and I, we've been through a lot together these four years, and we learned about one another, a lot about one another. And one of the things I learned about Barack is the enormity of his heart. And I think he learned about me the depth of my loyalty to him. 
And there's another thing, another thing that has bound us together these past four years. We had a pretty good idea what all those families, all you Americans in trouble were going through, in part because our own families had gone through similar struggles.
Barack as a young man had to sit at the end of his mother's hospital bed and watch her fight with her insurance company at the very same time she was fighting for her life.
When I was a young kid in third grade, I remember my dad coming up the stairs in my grandpop's house where we were living, sitting at the end of my bed, and saying, Joey, I'm going to have to leave for a while. Gone — go down to Wilmington, Delaware, with Uncle Franks. They're good jobs down there, honey. And in a little while — a little while, I'll be able to send for you and mom and Jimmy and Val, and everything's going to be fine.
For the rest of our life, my sister and my brothers, for the rest of our life, dad never failed to remind us that a job is about a lot more than a paycheck. It's about — 
When Barack and I — when Barack and I were growing up, there was an implicit understanding in America that if you took responsibility, you'd get a fair shot at a better life. And the values — the values behind that bargain were the values that shaped both of us, and many, many of you. And today those same values are Barack's guiding star. Folks, I've watched him. He has never wavered.
He never, never backs down. He always steps up, and he always asks in every one of those critical meetings the same fundamental question: How is this going to affect the average American? How is this going to affect people's lives? That's what's inside this man. That's what makes him tick. That's who he is.
And folks, because of the decisions he has made, and the incredible strength of the American people, America has turned a corner. The worst job loss since the Great Depression, we've since created 4.5 million private sector jobs in the past 25 — 29 months. 
Look, folks. President Obama and Governor Romney, they're both — they're both loving husbands. They're both devoted fathers. But let's be straight. They bring a vastly different vision and a vastly different values set to the job. 
And tonight — tonight, although you've heard people talk about it, I want to talk about two things from a slightly different perspective, from my perspective. I'd like to focus on two crises and show you — show you the character of leadership that each man will bring to this job, because as I said, I've had a ringside seat. The first of these a lot's been talked about.
And God love Jennifer Granholm. Wasn't she great? 
But the first story I want to talk to you about is the rescue of the automobile industry. And let me tell you — let me tell you — from this man's ringside seat, let me tell you about how Barack Obama saved more than a million American jobs. In the first — in the first days, literally the first days that we took office, General Motors and Chrysler were literally on the verge of liquidation. If the president didn't act, if he didn't act immediately, there wouldn't be any industry left to save.
So we sat hour after hour in the Oval Office. Michelle remembers how it must have — what he must have thought when she — he came back upstairs. We sat. We sat hour after hour. We listened to senators, congressmen, outside advisers, even some of our own adviser , and we listened to them to say some of the following things. They said, well, we shouldn't step up. The risk — the risk was too high. The outcome was too uncertain.
And the president, he patiently sat there and he listened. But he didn't see it the way they did. He understood something they didn't get. And one of the reasons I love him, he understood that this wasn't just about cars. It was about the people who built and made those cars — 
In those meetings — — in those meetings — in those meetings, I often thought about my dad. My dad was an automobile man. He would have been one of those guys all the way down the line, not on the factory floor, not along the supply chain, but one of those guys who were selling American cars to American people.
I thought about — I thought about what this crisis would have meant for the mechanics and the secretaries and the salespeople who my dad managed for over 35 years. And I know for certain — I know for certain that my dad, were he here today, he'd be fighting like heck for the president, because the president fought to save the jobs of those people my dad cared so much about. — my dad respected Barack Obama — would have respected Barack Obama, had he been around, for having had the guts to stand up for the automobile industry when so many others just were prepared to walk away.
You know, when I look back — — when I look back now, when I look back on the president's decision, I think of another son of another automobile man, Mitt Romney. Mitt — no, no — Mitt Romney — Mitt Romney grew up in Detroit. My dad managed, his dad owned — well, his dad ran an entire automobile company, American Motors. Yes, what I don't understand is in spite of that, he was willing to let the — Detroit go bankrupt.No, don't. I don't think he's a bad guy. No, no. I don't think he's a bad guy. I'm sure he grew up loving cars as much as I did. But what I don't understand, what I don't think he understood, I don't think he understood that saving the automobile worker, saving the industry, what it meant to all of America, not just autoworkers. I think he saw it the Bain way. Now, I mean this sincerely. I think he saw it in terms of balance sheets and write-offs.
Folks, the Bain way may bring your firm the highest profits. But it's not the way to lead our country from the highest office. 
When things — when things — when things hung in the balance — when things hung in the balance — I mean, literally hung in the balance — the president understood this was about a lot more than the automobile industry. This was about restoring America's pride. He understood — he understood in his gut what it would mean to leave a million people without hope or work if he didn't act. And he also knew — he also knew — he intuitively understood the message it would have sent around the world if the United States gave up on an industry that helped put America on the map in the first place. 
Look, you heard my friend John Kerry. This president — this president has shown the same resolve, the same steady hand in his role as commander in chief. Look — which brings me to the next illustration I want to tell you about, the next crisis he had to face. In 2008 — 2008, before he was president — Barack Obama made a promise to the American people.
He said, if I have bin — if we have bin Laden in our sights, we will — we will take him out. 
He went on to say — he went on to say, that has to be our biggest national security priority.
Look, Barack understood that the search for bin Laden was about a lot more than taking a monstrous leader off the battlefield. It was about so much more than that. It was about righting an unspeakable wrong. It was about — literally, it was about — it was about healing an unbearable wound, a nearly unbearable wound in America's heart.
And he also knew — he also knew the message we had to send around the world: If you attack innocent Americans, we will follow you to the end of the earth. 
Look —Most of all — most of all, President Obama had an unyielding faith in the capacity and the capability of our special forces, literally the finest warriors in the history of the world. The finest warriors in the history of the world.
So we sat. We sat originally — only five of us — we sat in the Situation Room beginning in the fall of the year before. We listened, we talked, we heard, and he listened to the risks and reservations about the raid. He asked again the tough questions. He listened to the doubts that were expressed.
But when Admiral McRaven looked him in the eye and said, sir, we can get this job done, I sat next to him and looked at your husband, and I knew at that moment he had made his decision. And his response was decisive. He said, do it — and justice was done! 
Folks, folks —Folks, Governor Romney didn't see things that way. When he was asked about bin Laden in 2007, here's what he said. He said, it's not worth moving heaven and earth and spending billions of dollars just to catch one person. 
But he was wrong. He was wrong. Because if you understood that America's heart had to be healed, you would have done exactly what the president did and you would move heaven and earth to hunt him down and to bring him to justice. 
Look, four years ago — four years ago — the only thing missing at this convention this year is my mom. Four years ago my mom was still with us, sitting up in the stadium in Denver. I quoted her.
I quoted her, one of her favorite expressions. She used to say to all her children — she said, Joey, bravery resides in every heart, and the time will come when it must be summoned.
Ladies and gentlemen, I'm here to tell you what I think you already know. But I watch it up close. Bravery resides in the heart of Barack Obama, and time and time again I witnessed him summon it. That's right. One man.
Folks, we know — we know we have more work to do. We know we're not there yet. But not a day has gone by in the last four years when I haven't been grateful as an American that Barack Obama is our president because he always has the courage to make the tough decisions. 
Speaking of tough decisions — speaking of tough calls — — last week we heard at the Republican convention — we heard our opponents — we heard them pledge that they too — they too heard the courage to make the tough calls.
That's what they said. 
But folks, in case you didn't notice — 
They — Mrs. Robinson, you — you watched from home, I guess, from the White House. You heard them talk so much about how they cared so much about Medicare, how much they wanted to preserve it. That's what they told you.
But let's look at what they didn't tell you. What they didn't tell you is that the plan they have already put down on paper would immediately cut benefits for more than 30 million seniors already on Medicare. What they didn't tell you — what they didn't tell you is the plan they're proposing would cause Medicare to go bankrupt by 2016. And what they really didn't tell you is they — if you want to know — if you want to know — they're not for preserving Medicare at all. They're for a new plan. It's called ""Vouchercare."" 
Look, folks. That's not courage. That's not even truthful. That's not even truthful. In Tampa, they talk with great urgency about the nation's debt and the need to act, to act now. But not once, not one single time, did they tell you that they rejected every plan put forward by us, by the bipartisan Simpson-Bowles commission they referenced — — or by any other respected group to reduce the national debt.
They are not for any of them. Why? Because they're not prepared to do anything about the debt if it contained even one dollar — I'm not exaggerating — even one dollar or one cent in new taxes for millionaires.
Folks, that's not courage and that's not fair. 
Look — look. In a sense, this can be reduced to a single notion. The two men seeking to lead this country over the next four years, as I said at the outset, have fundamentally different visions and a completely different value set.
Governor Romney believes in this global economy — it doesn't matter much where American companies invest and put their money or where they create jobs. As a matter of fact, in his budget proposal, in his tax proposal, he calls for a new tax. It's called a territorial tax, which the experts have looked at, and they acknowledge it will create 800,000 new jobs — all of them overseas, all of them. 
And what I've found — what I found fascinating, the most fascinating thing I found last week was when Governor Romney said that as president, he would take a jobs tour. Well, with his support for outsourcing, it's going to have to be a foreign trip. It will.
Look, President Obama knows that creating jobs in America, keeping jobs in America, bringing jobs back to America is what the president's job was all about.
That's what presidents do, or at least supposed to do. 
Folks, Governor Romney believes it's OK to raise taxes on middle classes by $2,000 in order to pay for another — literally another trillion-dollar tax cut for the very wealthy. President Obama knows that there's nothing decent or fair about asking people with more to do less and with less to do more. 
Governor Romney believes — he believes that kids, kids like our ""DREAMers"" — those immigrant children — 
Governor Romney — Governor Romney — Governor Romney — Governor Romney looks at the notion of equal pay in terms of a company's bottom line. President Obama — he knows that making sure our daughters get the same pay for the same jobs as our son is every father's bottom line. 
Look, I kind of expected all that from him. But one thing truly perplexed me at their convention. The thing that perplexed me most was this idea they kept talking about about the culture of dependency. They seem to think you create a culture of dependency when you provide a bright, young, qualified kid from a working-class family a loan to get to college or when you provide a job training program in a new industry for a dad who lost his job because it was outsourced.
Folks — folks, that's not how we look at it. That's not how America's ever looked at it. 
Look — and it literally amazes me they don't understand that. You know, I told you the outset the choice is stark, two different visions, two different value sets. But at its core, the difference is able to reduced 
As I mentioned at the outset, four years ago we were hit hard. You saw — you saw your retirement accounts drain, the equity in your homes vanish, jobs lost around the line. But what did you do as Americans? What you've always done. You didn't lose faith. You fought back. You didn't give up; you got up. 
Folks, there's one more thing, one more thing our Republican opponents are just dead wrong about. America is not in decline. America is not in decline. Never!
My fellow Americans, America is coming back. And we're not going back. And we have no intention of downsizing the American dream. Never. Never a good bet.
Ladies and gentlemen, in a moment — in a moment we're going to hear from a man whose whole life is a testament to the power of that dream and whose presidency is the best hope to secure that dream for our children. For you see — you see, we see a future — we really honest to God do — we see a future where everyone, rich and poor, does their part and has a part, a future where we depend more on clean energy from home and less on oil from abroad, a future where we're number one in the world again in college graduation, a future where we promote the private sector, not the privileged sector — 
And ladies and gentlemen, Barack and I see a future — it's in our DNA — where no one, no one is forced to live in the shadows of intolerance. 
Folks, we see a future where American — where America leads not only by the power of our — the example of our power, but by the power of example, where we bring our troops home from Afghanistan just as we proudly did from Iraq — — a future — a future where we fulfill the only truly sacred obligation we have as a nation. The only truly sacred obligation we have is to prepare those who we send to war and care for them when they come home from war.
And tonight — — and tonight — tonight I want to acknowledge — I want to acknowledge, as we should every night, the incredible debt we owe to the families of those 6,473 fallen angels and those 49,746 wounded, thousands critically, thousands who will need our help for the rest of their lives.
Folks, we never — we must never, ever forget their sacrifice and always keep them in our care and in our prayers.
My fellow Americans, we now — we now — and we now find ourselves at the hinge of history. And the direction we turn is not figuratively, is literally in your hands. It has been a truly great honor to serve you and to serve with Barack, who has always stood up with you for the past four years. I've seen him tested. I know his strength, his command, his faith. And I also know the incredible confidence he has in all of you. I know this man. Yes, the work of recovery is not yet — not yet complete. But we are on our way. The journey of hope is not yet finished, but we are on our way. 
So I say to you tonight with absolute confidence, America's best days are ahead, and yes, we are on our way. 
God bless you all, and may God protect our troops. "
democrat,JILL BIDEN,"Hello. 
Thank you, Angie. I'm so proud of how far you've come.
I'm so proud to stand before you tonight not only as the wife of our vice president but as a full-time teacher and a military mom. 
Four years ago Beau stood on this stage to introduce his father, and soon afterwards he deployed to Iraq for a year with the Delaware Army National Guard. Tonight, thanks to the leadership of President Obama and my husband, Joe, the war in Iraq is over.

I'm also — I'm also here tonight for my students, students like Angie 
Not long — not long after Joe was elected vice president, people started questioning whether I could keep teaching. Not Joe. He was there standing by my side saying, of course you should; it's who you are, Jill. For me, being a teacher isn't just what I do; it's who I am. These issues are personal to me, and for the more than 37 years that I've known Joe, I've seen firsthand just how personal they are to him too.
Joe often tells people that I didn't agree to marry him until the fifth time he asked me. The truth is, I loved him from the start. I saw in him then the same character that I see in him today. I've seen Joe's character in his optimism. For families who have lost a loved one, kids struggling to find their way, workers out of a job, Joe always works to give people a sense of hope.

I've also seen Joe's character in his determination. Two decades ago when Joe started working on the Violence Against Women Act — 
Finally, I've seen Joe's character in his heart. When I first met him, Joe had already seen just how fragile life could be. When he was 29 years old, Joe lost his first wife and baby daughter in a tragic car accident while they were out getting their Christmas tree. And their boys were critically injured. Joe's life was shattered. But through his strong Catholic faith and his fierce love for our boys, Joe found the strength to get back up. That's Joe. 
That optimism, that determination, that big strong heart that drives him forward every day — it's what he learned as a young boy growing up with two hardworking parents in Scranton, Pennsylvania. It's what makes him such a loving and supportive father of our three children, Beau, Hunter and Ashley, and it's what drives him today as he and President Obama fight to strengthen the middle class they grew up in.
For as long as I've known him, Joe has never given up, never failed to see the possibilities and never had any doubt about who he's fighting for. And as long as he has the privilege of serving this nation, I know from the bottom of my heart that he will continue to fight for you every day. Thank you. God bless our troops, and God bless our military families. Thank you!"
