word,activation,imagery,pleasantness
a,1.3846,1.0,2.0
abandon,2.375,2.4,1.0
abandoned,2.1,3.0,1.1429
abandonment,2.0,1.4,1.0
abated,1.3333,1.2,1.6667
abilities,2.1111,2.2,2.5
ability,2.5,2.4,2.5714
able,1.625,2.0,2.2
abnormal,2.0,2.4,1.0
aboard,1.875,2.8,1.8
abolition,2.1818,1.6,1.5
abortion,2.7273,2.6,1.0
about,1.3,1.4,1.7143
above,1.25,2.4,2.2
abroad,1.75,2.2,2.6
abrupt,2.3,2.4,1.2857
abruptly,2.2,2.2,1.1429
abscess,1.5455,2.0,1.125
absence,1.5556,2.6,1.5
absent,1.3,2.0,1.0
absolute,1.4444,1.6,1.6667
absolutely,1.5,1.8,1.6
absorb,1.75,2.2,1.8
absorbed,1.625,2.0,1.4
absorption,1.6667,1.6,1.7778
abstract,1.4444,1.8,1.6667
abstraction,1.4,1.6,1.4286
absurd,1.5,2.2,1.0
abundance,1.5556,3.0,2.6667
abuse,2.5,3.0,1.4286
abusers,2.7273,2.6,1.25
abusing,2.8182,2.6,1.25
abusive,2.6667,2.4,1.6667
abut,1.4,1.2,1.7143
academic,1.5,2.6,1.8
academy,1.625,3.0,2.0
accelerated,2.4444,3.0,2.1667
acceleration,2.5,2.4,2.2857
accept,1.5,1.8,2.4444
acceptable,1.5,1.4,1.8889
acceptance,1.4286,1.6,2.5
accepted,1.3333,1.8,1.6667
accepting,1.2857,2.0,1.5
access,1.9231,2.4,2.4545
accident,2.375,3.0,1.0
accommodate,1.7143,2.4,2.0
accompanied,2.2,2.4,2.1429
accompanying,2.1111,2.0,1.8333
accomplish,2.3636,2.0,2.75
accomplished,2.4,2.0,2.7143
accomplishments,2.2727,2.4,2.625
accordance,1.5556,1.6,2.0
according,1.6667,1.2,1.6667
accordingly,1.375,1.4,1.8
account,1.5,1.8,1.6
accounting,2.0,2.4,1.5
accounts,1.75,2.2,1.5556
accumulated,2.1,2.4,1.8571
accumulation,1.6,2.2,2.1429
accuracy,2.0,1.8,2.625
accurate,2.1,2.2,2.5714
accurately,1.7273,1.6,2.5
accuse,2.2222,2.4,1.0
accused,1.7143,2.4,1.0
accustomed,1.1111,1.8,2.1667
ace,1.2857,2.6,3.0
aced,2.1429,2.2,2.75
achieve,2.8333,2.0,2.8889
achieved,2.8,2.0,2.7143
achievement,2.7143,2.2,2.75
achievements,2.7273,2.0,2.5
achieving,2.625,1.6,2.8
achy,2.3,2.6,1.0
acid,2.0,3.0,1.25
acknowledge,1.25,2.4,1.8
acknowledged,1.5,2.2,2.1429
acquainted,1.5,2.2,2.2
acquire,1.625,2.8,2.2
acquired,1.7143,2.6,1.75
acquiring,2.0714,2.0,2.1818
acquisition,1.6667,2.0,1.8333
acreage,1.3333,2.2,1.6667
acres,1.5455,3.0,2.0
across,1.625,2.2,2.0
